VOG10728,154.2,NA
VOG10729,175.9,NA
VOG10058,1236.5,NA
VOG10059,138.3,129.5
VOG2967,121.9,NA
VOG2964,182.5,NA
VOG2962,54.0,NA
VOG2963,119.7,NA
VOG2961,103.6,102.9
VOG8447,202.6,NA
VOG8446,130.7,NA
VOG8445,101.7,NA
VOG8444,210.1,NA
VOG8443,128.6,NA
VOG8442,107.8,NA
VOG8441,233.5,NA
VOG8440,144.7,NA
VOG8449,199.1,NA
VOG8448,178.2,NA
VOG7712,109.6,33.5
VOG7245,110.3,40.6
VOG7246,129.8,50.5
VOG7247,87.5,46.8
VOG7240,110.0,NA
VOG7241,229.2,91.8
VOG7242,93.4,47.0
VOG7243,336.6,309.4
VOG7718,708.2,433.8
VOG7719,141.8,35.9
VOG7248,344.0,53.9
VOG7249,114.6,63.6
VOG3218,80.1,NA
VOG10944,1004.0,983.2
VOG10945,201.4,102.2
VOG10946,171.8,NA
VOG10947,237.8,38.8
VOG10940,663.1,NA
VOG10941,NA,889.0
VOG10942,212.3,NA
VOG10943,152.8,NA
VOG10948,426.4,NA
VOG10949,207.3,NA
VOG11091,129.5,NA
VOG11090,125.8,NA
VOG11092,481.2,478.9
VOG1921,202.3,NA
VOG1920,209.5,NA
VOG1927,116.5,51.5
VOG1926,246.5,NA
VOG1924,173.9,173.0
VOG1928,125.7,NA
VOG0521,59.6,NA
VOG0523,104.5,59.3
VOG0524,54.9,43.8
VOG0525,82.1,NA
VOG0526,71.9,NA
VOG0527,213.7,NA
VOG0528,55.6,49.3
VOG0529,272.5,153.1
VOG2742,86.2,35.1
VOG6040,103.1,NA
VOG6043,153.1,109.6
VOG6042,271.8,91.7
VOG2030,73.5,72.8
VOG6044,89.2,NA
VOG6047,133.8,67.2
VOG6046,179.4,54.3
VOG6049,126.9,NA
VOG6048,238.4,NA
VOG2749,178.2,NA
VOG2038,143.7,NA
VOG2039,99.1,98.9
VOG0298,319.9,NA
VOG0299,120.0,120.0
VOG0292,76.6,53.1
VOG0293,70.3,57.3
VOG0291,59.9,NA
VOG0296,120.5,88.6
VOG0297,79.7,71.9
VOG0294,42.6,NA
VOG0295,98.7,NA
VOG5134,56.2,37.4
VOG9549,705.7,NA
VOG9548,160.6,NA
VOG9545,165.6,NA
VOG9544,242.7,NA
VOG9547,140.1,31.6
VOG9546,451.3,NA
VOG9541,163.1,NA
VOG9540,185.2,NA
VOG9543,352.5,NA
VOG9542,213.8,NA
VOG1210,137.0,43.9
VOG1213,54.2,NA
VOG1212,133.0,NA
VOG1215,418.1,331.3
VOG5137,77.1,NA
